id,new name,old name
EX_salcn_e,Salicin exchange,Exchange
EX_all__D_e,D-Allose exchange,Exchange
EX_pur_e,Puromycin exchange,Exchange
EX_galt_e,Galactitol exchange,Exchange
EX_sbt__L_e,L-Glucitol exchange,Exchange
EX_pala_e,Palatinose exchange,Exchange
EX_xtsn_e,Xanthosine exchange,Exchange
EX_drib_e,Deoxyribose exchange,Exchange
EX_malttr_e,Maltotriose exchange,Exchange
EX_5oxpro_e,5-Oxoproline exchange,Exchange
EX_thiog_e,Thioglycolate exchange,Exchange
EX_2hymeph_e,Salicyl alcohol exchange,Exchange
EX_alltn_e,Allantoin exchange,Exchange
EX_23camp_e,"2',3'-Cyclic AMP exchange",Exchange
EX_23ccmp_e,"2',3'-Cyclic CMP exchange",Exchange
EX_23cump_p_e,"2',3'-Cyclic UMP exchange",Exchange
EX_tmp_e,Trimetaphosphate exchange,Exchange
EX_pser__D_e,D-O-Phosphoserine exchange,Exchange
EX_C03031_e,Uridine 2'-phosphate exchange,Exchange
EX_23btdl_e,"(R,R)-Butane-2,3-diol exchange",Exchange
EX_5mtr_e,5-Methylthio-D-ribose exchange,Exchange
EX_C03104_e,Cytidine 2'-phosphate exchange,Exchange
EX_C03570_e,D-Mannosamine exchange,Exchange
EX_C03619_e,Methyl beta-D-galactoside exchange,Exchange
EX_isetac_e,2-Hydroxyethanesulfonate exchange,Exchange
EX_peamn_e,Phenethylamine exchange,Exchange
EX_f6p_B_e,D-Fructose 6-phosphate exchange,Exchange
EX_melib_e,Melibiose exchange,Exchange
EX_b12_e,Vitamin B12 exchange,Exchange
EX_3cmp_p_e,3'-CMP exchange,Exchange
EX_argp_e,L-Arginine phosphate exchange,Exchange
EX_arbt_e,Arbutin exchange,Exchange
EX_3gmp_e,Guanosine 3'-phosphate exchange,Exchange
EX_fecrm_e,Ferrichrome exchange,Exchange
EX_ectoine_e,Ectoine exchange,Exchange
EX_mobd_e,Molybdate exchange,Exchange
EX_2doxg6p_e,2-Deoxy-D-glucose 6-phosphate exchange,Exchange
EX_C06468_e,D-Psicose exchange,Exchange
EX_pb_e,Lead exchange,Exchange
EX_aso3_e,Arsenite exchange,Exchange
EX_feoxam_e,Ferroxamine exchange,Exchange
EX_C08240_e,Gentiobiose exchange,Exchange
EX_djenk_e,L-Djenkolic acid exchange,Exchange
EX_C08325_e,Amygdalin exchange,Exchange
EX_prolb_e,Stachydrine exchange,Exchange
EX_mso3_e,Methanesulfonic acid exchange,Exchange
EX_ctbt_e,Crotono-betaine exchange,Exchange
EX_btbet_e,Butyro-betaine exchange,Exchange
EX_glcglyc_e,2-(beta-D-Glucosyl)-sn-glycerol exchange,Exchange
EX_thrp_e,L-Threonine O-3-phosphate exchange,Exchange
EX_sulfac_e,Sulfoacetate exchange,Exchange
EX_fe2_e,Fe2+ exchange,Exchange
EX_fe3_e,Fe3+ exchange,Exchange
EX_aso4_e,Arsenic acid exchange,Exchange
EX_mops_e,MOPS exchange,Exchange
EX_lanth_e,Lanthionine exchange,Exchange
EX_hexs_e,hexanesulfonate exchange,Exchange
EX_ethso3_e,ethanesulfonate exchange,Exchange
EX_gly_gln__L_e,Gly-Gln exchange,Exchange
EX_gly_asn__L_e,gly-asn-L exchange,Exchange
EX_ala_L_Thr__L_e,ala-L-Thr-L exchange,Exchange
EX_ala_L_leu__L_e,Ala-Leu exchange,Exchange
EX_ala_his_e,Ala-His exchange,Exchange
EX_L_alagly_e,L-alanylglycine exchange,Exchange
EX_ala_L_glu__L_e,ala-L-glu-L exchange,Exchange
EX_ala_L_gln__L_e,Ala-Gln exchange,Exchange
EX_gly_pro__L_e,gly-pro-L exchange,Exchange
EX_cpd11589_e,gly-asp-L exchange,Exchange
EX_met_L_ala__L_e,met-L-ala-L exchange,Exchange
EX_gly_met__L_e,Gly-Met exchange,Exchange
EX_gly_glu__L_e,gly-glu-L exchange,Exchange
EX_ala_L_asp__L_e,ala-L-asp-L exchange,Exchange
EX_cro4_e,chromate exchange,Exchange
EX_butso3_e,butanesulfonate exchange,Exchange
EX_arsbet_e,ARSENOBETAINE exchange,Exchange
EX_sbo3_e,Antimonite exchange,Exchange
EX_3amba_e,3-aminobutanoic acid exchange,Exchange
EX_gbbtn_e,gamma-butyrobetaine exchange,Exchange
EX_mbdg_e,beta-Methylglucoside exchange,Exchange
EX_phe__L_e,L-Phenylalanine exchange,
EX_tartr__L_e,(R，R)-Tartaric acid exchange,
EX_ptrc_e,Putrescine exchange,
EX_stys_e,Stachyose exchange,
EX_C00246_e,Butanoic acid exchange,
EX_d5kg_e,2-Deoxy-5-keto-D-gluconic acid exchange,
EX_cpd16500_e,"meso-2,3-butanediol exchange",
EX_actn__R_e,Acetoin exchange,
EX_actn__S_e,(S)-acetoin exchange,
EX_C19891_e,D-chiro-Inositol exchange,
EX_C06153_e,Scyllo-inositol exchange,
